localTime,channel,episodeTitle,episodeStartTime,episodeDescription,trackTitle,artistString,gender,hosts
2025-10-29 05:03:04+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Fluorescent Adolescent,Arctic Monkeys,other,
2025-10-29 05:06:00+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Everybody Scream,Florence + The Machine,other,
2025-10-29 05:10:00+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Heart Of Glass,Blondie,other,
2025-10-29 05:13:10+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Taler Tempoet,"The Rumour Said Fire, eee gee",other,
2025-10-29 05:17:11+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Elderberry Wine,Wednesday,other,
2025-10-29 05:20:41+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Glory Box,Portishead,other,
2025-10-29 05:24:05+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Til solen er sort,APHACA,other,
2025-10-29 05:27:41+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,EURO-COUNTRY,CMAT,female,
2025-10-29 05:32:40+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Limit To Your Love,James Blake,male,
2025-10-29 05:36:22+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Lucky Man,The Verve,other,
2025-10-29 05:41:00+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Pretty,NewDad,other,
2025-10-29 05:44:10+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Rhinestone,Sort Sol,other,
2025-10-29 05:48:03+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,No One Else,Elias Rønnenfelt,male,
2025-10-29 05:51:40+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Passenger,Julie Pavon,female,
2025-10-29 05:55:10+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Wall Of Glass,Liam Gallagher,male,
2025-10-29 05:58:50+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Big Me,Foo Fighters,other,
2025-10-29 06:05:04+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,La Belle Epoque,Kent,other,
2025-10-29 06:08:50+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,We Are One,Zar Paulo,other,
2025-10-29 06:12:00+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,One,U2,other,
2025-10-29 06:16:31+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Love In A Trashcan,The Raveonettes,other,
2025-10-29 06:19:43+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Golden Retriever,GENTS,other,
2025-10-29 06:22:50+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Hurts Like A Mother,Selina Gin,,
2025-10-29 06:25:33+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Kids,MGMT,other,
2025-10-29 06:29:13+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,E45,Dork,other,
2025-10-29 06:32:52+01:00,P6BEAT,P6 Beatet,2025-10-29 04:03:00+00:00,Musik er livets salt! Forvent det uventede når genredefinitioner og smagsdommeri står for endeligt fald. Et mix af alt det bedste fra P6: fra før og nu og langt ud(e) i fremtiden.,Perfect Day,Lou Reed,male,
